"EAN","IMG","Price","_type","name"
"4010355275554","https://cdn02.dm-static.com/images/mediacatalog/h4010355275554-1284657/productimage_170x260/1507284034000/4010355275554-1284657_org.png","0,95 €","DmBotItem","Erfrischende Reinigungstücher 3in1"
"4010355341419","https://cdn02.dm-static.com/images/mediacatalog/h4010355341419-1290869/productimage_170x260/1507284049000/4010355341419-1290869_org.png","0,50 €","DmBotItem","2in1 Kräftigung Shampoo + Spülung"
"4010355420633","https://cdn02.dm-static.com/images/mediacatalog/h4010355420633-1370608/productimage_170x260/1511517891000/4010355420633-1370608_org.png","0,55 €","DmBotItem","Flüssigseife Golden Shine"
"4010355409270","https://cdn02.dm-static.com/images/mediacatalog/h4010355409270-1377487/productimage_170x260/1512542264000/4010355409270-1377487_org.png","0,55 €","DmBotItem","Deo Roll On Antitranspirant extra dry"
"4010355409232","https://cdn02.dm-static.com/images/mediacatalog/h4010355409232-1397396/productimage_170x260/1512562848000/4010355409232-1397396_org.png","0,55 €","DmBotItem","Men Deo Roll on Invisible 50 ml"
"4010355409256","https://cdn02.dm-static.com/images/mediacatalog/h4010355409256-1397395/productimage_170x260/1514465377000/4010355409256-1397395_org.png","0,55 €","DmBotItem","Men Deo Roll on fresh"
"4010355995339","https://cdn02.dm-static.com/images/mediacatalog/h4010355995339-727362/productimage_170x260/1506501939000/4010355995339-727362_org.png","4,45 €","DmBotItem","Beauty Effect Augen Gel-Pads"
"4010355000903","https://cdn02.dm-static.com/images/mediacatalog/h4010355000903-1005665/productimage_170x260/1507191016000/4010355000903-1005665_org.png","5,95 €","DmBotItem","Serum Teint Perfektion Optischer Sofort-Zauber"
"4010355059321","https://cdn02.dm-static.com/images/mediacatalog/h4010355059321-753220/productimage_170x260/1506501945000/4010355059321-753220_org.png","0,45 €","DmBotItem","Seifenstück Arztseife sensitiv"
"4010355196866","https://cdn02.dm-static.com/images/mediacatalog/h4010355196866-1419953/productimage_170x260/1511416869000/4010355196866-1419953_org.png","2,25 €","DmBotItem","Deo Stick Antitranspirant Kristall"
"4010355232670","https://cdn02.dm-static.com/images/mediacatalog/h4010355232670-1228716/productimage_170x260/1510621261000/4010355232670-1228716_org.png","0,65 €","DmBotItem","Fußmaske"
"4010355260390","https://cdn02.dm-static.com/images/mediacatalog/h4010355260390-1191529/productimage_170x260/1513386069000/4010355260390-1191529_org.png","0,65 €","DmBotItem","Lippenpflege Nude Kiss Limited Edition"
"4010355194329","https://cdn02.dm-static.com/images/mediacatalog/h4010355194329-1016672/productimage_170x260/1507103166000/4010355194329-1016672_org.png","0,95 €","DmBotItem","Augen Konzentrat"
